 Date,Time,From,Time,To,Fare,Credit,Balance
 03/Jul/2023,7:10:00 AM,James Street - 6 ,7:18:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$10.28
 03/Jul/2023,17:34 PM,Adelaide St at City Hall (Stop 20) ,17:44 PM,Light Street - 7 ,$1.78,,$8.50
 04/Jul/2023,7:15:00 AM,Chester Street - 7 ,7:26:00 AM,Adelaide St app George St (Stop 47) ,$1.78,,$6.72
 04/Jul/2023,17:04 PM,Caxton Street ,17:27 PM,Lewis Street - 11/12 ,$1.78,,$4.94
 05/Jul/2023,7:07:00 AM,Auto top up(James Street - 6 ),,,,$20.00,$24.94
 05/Jul/2023,7:07:00 AM,James Street - 6 ,7:17:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$23.16
 05/Jul/2023,16:57 PM,Adelaide St at City Hall (Stop 20) ,17:08 PM,Light Street - 7 ,$1.78,,$21.38
 06/Jul/2023,7:03:00 AM,James Street - 6 ,7:12:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$19.60
 06/Jul/2023,17:02 PM,Adelaide St at City Hall (Stop 20) ,17:14 PM,Light Street - 7 ,$1.78,,$17.82
 07/Jul/2023,7:07:00 AM,James Street - 6 ,7:15:00 AM,Adelaide St opp City Hall (Stop 43) ,$0.89,,$16.93
 07/Jul/2023,16:41 PM,Adelaide St at City Hall (Stop 20) ,16:52 PM,Light Street - 7 ,$0.89,,$16.04
 07/Jul/2023,17:45 PM,James Street - 6 (Touch on Transfer),17:55 PM,Adelaide St opp City Hall (Stop 43) ,$0.00,,$16.04
 07/Jul/2023,20:27 PM,Adelaide St at City Hall (Stop 20) ,20:38 PM,Skyring Tce ,$0.71,,$15.33
 09/Jul/2023,10:59:00 AM,Lewis Street - 11 ,11:11:00 AM,King George Square Station 1C ,$0.71,,$14.62
 09/Jul/2023,12:43:00 PM,King George Square Station 2D ,12:55:00 PM,Lewis Street - 11/12 ,$0.71,,$13.91
 10/Jul/2023,7:09:00 AM,James Street - 6 ,7:20:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$12.13
 10/Jul/2023,17:07 PM,Adelaide St at City Hall (Stop 20) ,17:19 PM,Light Street - 7 ,$1.78,,$10.35
 11/Jul/2023,6:11:00 AM,James Street - 6 ,6:17:00 AM,Cultural Centre Platform 3 ,$1.78,,$8.57
 11/Jul/2023,6:29:00 AM,Cultural Centre Platform 2 (Touch on Transfer),6:37:00 AM,Lewis Street - 11/12 ,$0.00,,$8.57
 11/Jul/2023,8:08:00 AM,Lewis Street - 11 ,8:28:00 AM,Caxton Street - 4 ,$1.78,,$6.79
 11/Jul/2023,12:41:00 PM,Adelaide St at City Hall (Stop 20) ,12:50:00 PM,Light Street - 7 ,$1.42,,$5.37
 19/Jul/2023,13:19 PM,James Street - 6 ,13:30 PM,Adelaide St opp City Hall (Stop 43) ,$1.42,,$3.95
 19/Jul/2023,14:28 PM,Auto top up(Adelaide St at City Hall (Stop 20) ),,,,$20.00,$23.95
 19/Jul/2023,14:28 PM,Adelaide St at City Hall (Stop 20) (Touch on Transfer),14:35 PM,Light Street - 7 ,$0.00,,$23.95
 20/Jul/2023,7:08:00 AM,James Street - 6 ,7:18:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$22.17
 20/Jul/2023,17:39 PM,Adelaide St opp DJ's (Stop 23) ,17:48 PM,Brunswick Street - Stop 211 ,$1.78,,$20.39
 21/Jul/2023,7:04:00 AM,James Street - 6 ,7:12:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$18.61
 21/Jul/2023,17:01 PM,Adelaide St at City Hall (Stop 20) ,17:13 PM,Light Street - 7 ,$1.78,,$16.83
 24/Jul/2023,7:09:00 AM,James Street - 6 ,7:17:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$15.05
 24/Jul/2023,17:54 PM,Adelaide St at City Hall (Stop 20) ,18:04 PM,Light Street - 7 ,$1.78,,$13.27
 25/Jul/2023,8:24:00 AM,James Street - 6 ,8:41:00 AM,Adelaide St opp City Hall (Stop 43) ,$1.78,,$11.49
 25/Jul/2023,8:44:00 AM,King George Square Station 1E (Touch on Transfer),8:49:00 AM,'QUT Kelvin Grove' Station (OB) - Platform 2 ,$0.00,,$11.49
